Run ID,Batch Size,Number of Hidden Neurons
0,57,8
1,64,8
2,57,11
3,64,11
4,61,10
5,61,10
6,61,10
7,61,10
8,56,10
9,66,10
10,61,8
11,61,12
12,61,10
13,61,10
14,61,10
15,61,10
