Run ID,Batch Size,Number of Hidden Neurons,Response
0,57,8,62.040988868494
1,64,8,77.0922679753498
2,57,11,74.86446560019299
3,64,11,84.64572131362901
4,61,10,68.677507062785
5,61,10,87.01870798348791
6,61,10,98.5642408272081
7,61,10,69.94573682059499
8,56,10,66.247197462417
9,66,10,77.3893977480761
10,61,8,72.973414906092
11,61,12,65.3347382737746
12,61,10,79.22119464525979
13,61,10,65.9560424405104
14,61,10,72.6726991263068
15,61,10,72.10089341937099
