Run ID,Batch Size,Number of Hidden Neurons
0,70,10
1,60,14
2,60,14
3,60,10
4,60,10
5,60,14
6,70,14
7,70,14
8,60,14
9,70,14
10,70,10
11,70,14
12,60,10
13,60,10
14,70,10
15,70,10
