Performance,Value
Regression Score,0.4042067886026116
Feature Names,"['Batch Size', 'Number of Hidden Neurons', 'Batch Size^2', 'Batch Size Number of Hidden Neurons', 'Number of Hidden Neurons^2']"
Intercept,55673.4469978365
Coefficients,"[-1859.1808548404365, 1842.1460685070872, 13.736047606720831, 5.942185093257095, -127.3756848653001]"
Hyperparameter Names,"['Batch Size', 'Number of Hidden Neurons']"
Optimum Hyperparameters,"[66.0, 6.0]"
Optimum Response,1622.1910060651644
