Run ID,Batch Size,Number of Hidden Neurons,Response
0,53,4,50.7893009570454
1,60,4,56.7129369388942
2,53,7,62.61228320659999
3,60,7,61.380047991156
4,57,6,70.91703454256101
5,57,6,68.20289972893501
6,57,6,46.453826570052506
7,57,6,58.10301109159969
8,52,6,61.27500717325499
9,62,6,75.7517889840891
10,57,4,56.289863947558
11,57,8,51.78611967359939
12,57,6,51.960896104084
13,57,6,59.0677563781268
14,57,6,57.5583108820494
15,57,6,66.8034238137337
