Run ID,Batch Size,Number of Hidden Neurons
0,53,4
1,60,4
2,53,7
3,60,7
4,57,6
5,57,6
6,57,6
7,57,6
8,52,6
9,62,6
10,57,4
11,57,8
12,57,6
13,57,6
14,57,6
15,57,6
