Performance,Value
Regression Score,0.42065683915606766
Feature Names,"['Batch Size', 'Number of Hidden Neurons', 'Batch Size^2', 'Batch Size Number of Hidden Neurons', 'Number of Hidden Neurons^2']"
Intercept,899.6166777205649
Coefficients,"[-34.549126226674694, 38.86871022539105, 0.32618008063589343, -0.27129986869829104, -1.9577370069887932]"
Hyperparameter Names,"['Batch Size', 'Number of Hidden Neurons']"
Optimum Hyperparameters,"[55.0, 4.0]"
Optimum Response,50.57455685315381
