Performance,Value
Regression Score,0.44846419708413343
Feature Names,"['Batch Size', 'Number of Hidden Neurons', 'Batch Size^2', 'Batch Size Number of Hidden Neurons', 'Number of Hidden Neurons^2']"
Intercept,-2131.298104694968
Coefficients,"[59.392221669138365, 44.48867722225077, -0.40721034001511214, -0.5188614583002042, -0.5521760442520439]"
Hyperparameter Names,"['Batch Size', 'Number of Hidden Neurons']"
Optimum Hyperparameters,"[60.0, 10.0]"
Optimum Response,44.6302642161113
