Run ID,Batch Size,Number of Hidden Neurons,Response
0,60,10,55.841445946810005
1,70,10,65.20715755932801
2,60,14,66.0638726545603
3,70,10,55.397394981753
4,60,10,62.960126284577406
5,70,14,67.73731581090948
6,60,10,62.730832715034
7,60,10,69.36719540207201
8,70,14,70.9885328532846
9,60,14,81.50294013307999
10,60,14,64.38396385583479
11,60,14,72.277735228007
12,70,14,63.814282571364
13,70,10,69.5727087554758
14,70,10,54.9421031667139
15,70,14,61.410465449022
