Run ID,Batch Size,Number of Hidden Neurons
0,70,10
1,70,10
2,60,10
3,70,14
4,70,10
5,60,14
6,70,10
7,60,14
8,70,14
9,70,14
10,60,10
11,60,10
12,60,14
13,60,10
14,60,14
15,70,14
