Run ID,Batch Size,Number of Hidden Neurons
0,62,12
1,69,12
2,62,15
3,69,15
4,66,14
5,66,14
6,66,14
7,66,14
8,61,14
9,71,14
10,66,12
11,66,16
12,66,14
13,66,14
14,66,14
15,66,14
