Run ID,Batch Size,Number of Hidden Neurons
0,70,10
1,60,10
2,60,14
3,70,14
4,60,14
5,60,10
6,60,14
7,70,14
8,70,10
9,60,14
10,70,10
11,60,10
12,60,10
13,70,14
14,70,10
15,70,14
