Performance,Value
Regression Score,0.25153447656271677
Feature Names,"['Batch Size', 'Number of Hidden Neurons', 'Batch Size^2', 'Batch Size Number of Hidden Neurons', 'Number of Hidden Neurons^2']"
Intercept,88587.1505362377
Coefficients,"[-2161.0535903859404, 726.9414662498739, 16.41382714689655, -44.632377937293654, 110.4509838512915]"
Hyperparameter Names,"['Batch Size', 'Number of Hidden Neurons']"
Optimum Hyperparameters,"[85.0, 14.0]"
Optimum Response,2200.5401067322673
