Performance,Value
Regression Score,0.08435936928916754
Feature Names,"['Batch Size', 'Number of Hidden Neurons', 'Batch Size^2', 'Batch Size Number of Hidden Neurons', 'Number of Hidden Neurons^2']"
Intercept,-408.0587722144632
Coefficients,"[8.525689802841663, 30.413617169340462, -0.04655639580424875, -0.1970102769823523, -0.7508619832428179]"
Hyperparameter Names,"['Batch Size', 'Number of Hidden Neurons']"
Optimum Hyperparameters,"[60.0, 10.0]"
Optimum Response,46.72339824045247
