Run ID,Batch Size,Number of Hidden Neurons
0,70,14
1,70,10
2,70,14
3,70,10
4,60,14
5,60,10
6,60,14
7,70,14
8,60,10
9,70,14
10,70,10
11,60,10
12,60,14
13,70,10
14,60,14
15,60,10
