Run ID,Batch Size,Number of Hidden Neurons
0,60,14
1,60,14
2,60,10
3,60,10
4,70,10
5,60,14
6,70,14
7,70,10
8,70,14
9,60,14
10,60,10
11,70,10
12,70,14
13,70,14
14,60,10
15,70,10
