Run ID,Batch Size,Number of Hidden Neurons
0,60,10
1,60,10
2,70,14
3,60,14
4,70,10
5,70,10
6,60,10
7,60,14
8,70,14
9,70,10
10,60,14
11,60,10
12,70,10
13,70,14
14,60,14
15,70,14
