Run ID,Batch Size,Number of Hidden Neurons
0,60,14
1,70,14
2,60,10
3,60,14
4,60,10
5,70,10
6,70,14
7,70,10
8,60,10
9,70,14
10,70,10
11,60,14
12,70,14
13,60,10
14,70,10
15,60,14
