Run ID,Batch Size,Number of Hidden Neurons
0,58,8
1,65,8
2,58,11
3,65,11
4,62,10
5,62,10
6,62,10
7,62,10
8,57,10
9,67,10
10,62,8
11,62,12
12,62,10
13,62,10
14,62,10
15,62,10
