Performance,Value
Regression Score,0.7710896232741099
Feature Names,"['Batch Size', 'Number of Hidden Neurons', 'Batch Size^2', 'Batch Size Number of Hidden Neurons', 'Number of Hidden Neurons^2']"
Intercept,1141.0006996534496
Coefficients,"[-52.45019084611885, 122.4392283565875, 0.5425485727025432, -1.8754726237649173, 0.1464058971265386]"
Hyperparameter Names,"['Batch Size', 'Number of Hidden Neurons']"
Optimum Hyperparameters,"[62.0, 8.0]"
Optimum Response,33.2949635440566
