Performance,Value
Regression Score,0.2597903935320717
Feature Names,"['Batch Size', 'Number of Hidden Neurons', 'Batch Size^2', 'Batch Size Number of Hidden Neurons', 'Number of Hidden Neurons^2']"
Intercept,-741.3330528276804
Coefficients,"[16.88874007170106, 53.54766608410256, -0.09860225771678444, -0.3621144868240487, -1.5936156351919013]"
Hyperparameter Names,"['Batch Size', 'Number of Hidden Neurons']"
Optimum Hyperparameters,"[56.0, 8.0]"
Optimum Response,59.382348911108124
