Run ID,Batch Size,Number of Hidden Neurons
0,60,10
1,60,10
2,60,14
3,60,14
4,70,14
5,70,10
6,60,10
7,70,10
8,70,10
9,60,14
10,70,14
11,60,14
12,60,10
13,70,14
14,70,14
15,70,10
