Performance,Value
Regression Score,0.15358611945334366
Feature Names,"['Batch Size', 'Number of Hidden Neurons', 'Batch Size^2', 'Batch Size Number of Hidden Neurons', 'Number of Hidden Neurons^2']"
Intercept,523.1236877286466
Coefficients,"[-192.8262212719887, 838.8017811201877, 1.1662456681804088, 3.4551692095639055, -35.585144137602164]"
Hyperparameter Names,"['Batch Size', 'Number of Hidden Neurons']"
Optimum Hyperparameters,"[68.0, 10.0]"
Optimum Response,-17.320929155259137
