Run ID,Batch Size,Number of Hidden Neurons
0,70,10
1,60,14
2,60,10
3,70,10
4,60,14
5,60,14
6,70,10
7,70,14
8,60,14
9,70,14
10,70,14
11,70,10
12,70,14
13,60,10
14,60,10
15,60,10
