Run ID,Batch Size,Number of Hidden Neurons,Response
0,61,10,73.94843730054198
1,68,10,69.74504607486
2,61,13,69.1147790088339
3,68,13,99.36558318350092
4,65,12,86.4322038018215
5,65,12,102.004137585684
6,65,12,105.77925425093
7,65,12,92.36045213024
8,60,12,89.215286448746
9,70,12,70.03985124617427
10,65,10,54.28809715086901
11,65,14,64.71026174590591
12,65,12,79.19138197643301
13,65,12,67.457915913514
14,65,12,81.6226169824277
15,65,12,88.87709408329
