Run ID,Batch Size,Number of Hidden Neurons,Response
0,60,14,89.43620958943919
1,70,10,101.70216076079302
2,60,14,86.68859799082601
3,60,14,92.57206811685602
4,70,10,968.52916925366
5,60,14,2589.577360028334
6,70,14,99.303156327481
7,70,14,94.570361497238
8,60,10,68.18535501562386
9,70,14,89.4120567459575
10,70,10,2477.966485498684
11,60,10,108.5040499572628
12,70,10,2280.593924363338
13,60,10,1743.818238059476
14,70,14,161.402770789308
15,60,10,99.683529451725
