Run ID,Batch Size,Number of Hidden Neurons
0,79,12
1,86,12
2,79,15
3,86,15
4,83,14
5,83,14
6,83,14
7,83,14
8,78,14
9,88,14
10,83,12
11,83,16
12,83,14
13,83,14
14,83,14
15,83,14
