Run ID,Batch Size,Number of Hidden Neurons
0,60,10
1,70,10
2,70,10
3,70,14
4,60,14
5,70,14
6,60,14
7,60,10
8,70,14
9,70,14
10,60,10
11,60,10
12,70,10
13,70,10
14,60,14
15,60,14
