Run ID,Batch Size,Number of Hidden Neurons
0,70,10
1,60,14
2,70,10
3,70,14
4,70,10
5,60,10
6,60,14
7,60,10
8,60,14
9,70,10
10,70,14
11,70,14
12,70,14
13,60,14
14,60,10
15,60,10
