BTCUSD:open,BTCUSD:high,BTCUSD:low,BTCUSD:close,BTCUSD:tick_volume,BTCUSD:spread,BTCUSD:real_volume,BTCUSD:weekday,BTCUSD:hour,BTCUSD:minute,BTCUSD:return,BTCUSD:upper_shadow,BTCUSD:lower_shadow,ETHUSD:open,ETHUSD:high,ETHUSD:low,ETHUSD:close,ETHUSD:tick_volume,ETHUSD:spread,ETHUSD:real_volume,ETHUSD:weekday,ETHUSD:hour,ETHUSD:minute,ETHUSD:return,ETHUSD:upper_shadow,ETHUSD:lower_shadow,BCHUSD:open,BCHUSD:high,BCHUSD:low,BCHUSD:close,BCHUSD:tick_volume,BCHUSD:spread,BCHUSD:real_volume,BCHUSD:weekday,BCHUSD:hour,BCHUSD:minute,BCHUSD:return,BCHUSD:upper_shadow,BCHUSD:lower_shadow,LTCUSD:open,LTCUSD:high,LTCUSD:low,LTCUSD:close,LTCUSD:tick_volume,LTCUSD:spread,LTCUSD:real_volume,LTCUSD:weekday,LTCUSD:hour,LTCUSD:minute,LTCUSD:return,LTCUSD:upper_shadow,LTCUSD:lower_shadow,RPLUSD:open,RPLUSD:high,RPLUSD:low,RPLUSD:close,RPLUSD:tick_volume,RPLUSD:spread,RPLUSD:real_volume,RPLUSD:weekday,RPLUSD:hour,RPLUSD:minute,RPLUSD:return,RPLUSD:upper_shadow,RPLUSD:lower_shadow
46855.12,47023.26,46724.84,46996.12,3092,10.5,0,2,5,0,0.0030092762541212,0.0005774944825232,0.0027882385472054,3423.05,3439.54,3412.13,3439.44,5208,4.2,0,2,5,0,0.0047881275470705,2.9074500500054965e-05,0.0032003469973301,629.07,630.01,626.25,629.91,1253,4.05,0,2,5,0,0.0013353044971146,0.000158752837707,0.0045029940119761,169.5,171.54,168.74,171.35,1106,3.0,0,2,5,0,0.0109144542772861,0.0011088415523781,0.0045039706056654,1.1742,1.1768,1.1668,1.1758,1332,0.0028,0,2,5,0,0.00136262987566,0.0008504847763225,0.0063421323277338
46996.12,47100.51,46846.51,46887.08,3029,10.5,0,2,5,30,-0.0023201915392164,0.0022212472008327,0.0008660196885531,3439.44,3445.46,3413.23,3419.65,5327,4.2,0,2,5,30,-0.0057538436489661,0.0017502849301048,0.0018809163168025,629.94,631.58,629.24,630.29,1223,4.05,0,2,5,30,0.0005556084706478,0.0020466769264942,0.0011124531180472,171.36,171.63,169.62,170.15,1285,3.0,0,2,5,30,-0.0070611577964519,0.0015756302521007,0.0031246315293007,1.1758,1.1828,1.1659,1.1715,1433,0.003,0,2,5,30,-0.0036570845381867,0.0059533934342576,0.0048031563598936
46887.08,46931.43,46730.1,46776.05,2891,10.5,0,2,6,0,-0.0023680297429483,0.0009458895712848,0.0009833062629869,3419.65,3431.84,3409.63,3416.18,5060,4.2,0,2,6,0,-0.0010147237290366,0.0035646922930709,0.0019210295545263,630.29,630.44,627.56,628.16,1321,4.05,0,2,6,0,-0.0033793967856066,0.0002379856891273,0.0009560838804258,170.15,170.53,169.43,169.81,973,3.0,0,2,6,0,-0.0019982368498383,0.0022333235380546,0.0022428141415333,1.1715,1.1716,1.1627,1.1708,1130,0.0028,0,2,6,0,-0.0005975245411864,8.536064874092103e-05,0.0069665433903844
46776.05,47054.96,46684.98,47034.86,3181,10.5,0,2,6,30,0.0055329597090818,0.0004273426135423,0.0019507344760563,3416.18,3444.95,3406.78,3441.6,5225,4.2,0,2,6,30,0.0074410598973122,0.0009733844723384,0.0027592037055517,628.16,632.47,626.52,631.82,1062,4.05,0,2,6,30,0.0058265410086603,0.0010287740179164,0.0026176339143203,169.8,170.73,168.93,170.69,968,3.0,0,2,6,30,0.0052414605418138,0.0002343429609232,0.0051500621559225,1.1705,1.1818,1.1666,1.1817,1959,0.0028,0,2,6,30,0.0095685604442544,8.462384700007531e-05,0.0033430481741813
47034.86,47271.76,46972.42,47124.89,2868,10.5,0,2,7,0,0.001914112213792,0.0031166120493862,0.0013292906773805,3441.6,3454.32,3426.64,3450.45,5017,4.2,0,2,7,0,0.0025714783821478,0.0011215928357171,0.0043657927299045,631.88,633.09,629.68,632.09,1013,4.05,0,2,7,0,0.000332341583845,0.0015820531886282,0.0034938381400076,170.69,171.95,170.0,170.73,1235,3.0,0,2,7,0,0.0002343429609232,0.0071457857435717,0.0040588235294117,1.1817,1.187,1.1747,1.1831,1749,0.0027,0,2,7,0,0.0011847338580012,0.0032964246471135,0.0059589682472119
47124.89,47223.76,47013.96,47157.37,2627,8.04,0,2,7,30,0.0006892323780491,0.0014078393260692,0.0023595119407086,3450.3,3459.86,3436.61,3459.86,5566,4.2,0,2,7,30,0.0027707735559226,0.0,0.0039835768388033,632.09,632.81,630.05,631.33,1200,4.05,0,2,7,30,-0.0012023604233574,0.0011390782958121,0.0020315847948576,170.73,171.3,170.34,171.06,736,3.0,0,2,7,30,0.0019328764716219,0.0014030164854437,0.0022895385699189,1.1831,1.192,1.1773,1.1907,1319,0.0028,0,2,7,30,0.0064238018764263,0.0010917947425882,0.004926526798607
47157.87,47422.23,47090.95,47257.25,3681,9.55,0,2,8,0,0.0021073894982957,0.0034911045395151,0.0014210798465523,3459.86,3498.54,3452.69,3492.53,5451,4.02,0,2,8,0,0.0094425786014463,0.0017208155692291,0.0020766416909714,631.33,634.14,630.37,634.01,1061,4.05,0,2,8,0,0.0042450065734242,0.0002050440844781,0.0015229151133461,171.06,172.08,170.75,171.75,1253,3.0,0,2,8,0,0.0040336723956506,0.0019213973799127,0.0018155197657393,1.1907,1.2085,1.1874,1.1979,2146,0.0029,0,2,8,0,0.0060468631897202,0.008848818766174,0.0027791814047499
47257.25,47497.26,47191.38,47441.73,3570,10.5,0,2,8,30,0.0039037396378334,0.001170488512961,0.0013958057594417,3492.69,3531.09,3482.57,3525.56,5426,4.1,0,2,8,30,0.0094110842931951,0.0015685451389283,0.0029058999531954,634.01,637.82,632.73,637.08,1708,4.05,0,2,8,30,0.0048421949180613,0.0011615495699127,0.0020229797860066,171.75,172.65,171.34,172.16,1149,3.0,0,2,8,30,0.0023871906841338,0.0028461895910781,0.0023929029998832,1.1982,1.2074,1.1931,1.2045,1813,0.0029,0,2,8,30,0.0052578868302453,0.0024076380240764,0.0042745788282624
47440.51,47486.76,47281.01,47310.26,3628,10.5,0,2,9,0,-0.0027455438400641,0.000974905202326,0.0006186416068523,3524.42,3531.58,3509.0,3515.45,5654,4.2,0,2,9,0,-0.0025450996192282,0.0020315399413236,0.001838130521516,637.08,638.06,635.07,635.31,739,4.05,0,2,9,0,-0.0027783009983049,0.0015382683493437,0.0003779110964144,172.16,172.34,171.3,171.33,600,3.0,0,2,9,0,-0.004821096654275,0.0010455390334572,0.0001751313485113,1.2045,1.2077,1.1949,1.1954,1561,0.0028,0,2,9,0,-0.0075550020755499,0.0026567040265671,0.0004184450581638
47311.01,47454.42,47187.25,47319.72,2424,10.5,0,2,9,30,0.0001841009101263,0.0028465933441701,0.002622742372145,3515.91,3532.72,3506.01,3518.97,5499,4.2,0,2,9,30,0.0008703294452929,0.0039073933565787,0.0028237226933179,635.32,636.69,633.37,634.19,473,4.05,0,2,9,30,-0.0017786312409494,0.0021563936284077,0.001294661887996,171.33,171.53,170.44,170.85,991,3.0,0,2,9,30,-0.0028016109262827,0.001167337885951,0.002405538605961,1.1954,1.2034,1.191,1.1994,1245,0.0029,0,2,9,30,0.0033461602810774,0.0033350008337502,0.0036943744752308
