Run ID,Batch Size,Number of Hidden Neurons
0,60,8
1,67,8
2,60,11
3,67,11
4,64,10
5,64,10
6,64,10
7,64,10
8,59,10
9,69,10
10,64,8
11,64,12
12,64,10
13,64,10
14,64,10
15,64,10
