timestamp,-1,0,1,2,Exchange Rate
2022-03-09 18:30:00,306.0,306.6181180807762,308.2749308106127,308.95043874891206,BCHUSD
2022-03-09 20:00:00,310.77,313.2380170898605,313.57954339214695,315.24525206060116,BCHUSD
2022-03-09 21:30:00,310.2,311.6467768829316,313.90279542856575,314.8295518503065,BCHUSD
2022-03-09 23:00:00,305.93,307.91545366428795,308.84308775539773,310.19283897027964,BCHUSD
2022-03-09 18:30:00,42350.05,42364.967921169125,42426.797039392986,42353.98908843606,BTCUSD
2022-03-09 20:00:00,42320.47,42289.88494573149,42184.91878123993,42351.64247153896,BTCUSD
2022-03-09 21:30:00,41901.59,42044.486290243934,42036.46761635753,41936.76508626759,BTCUSD
2022-03-09 23:00:00,41841.23,41895.20006428286,41972.57795682426,42193.095019420325,BTCUSD
2022-03-09 18:30:00,2745.19,2747.931317753147,2750.2413599726174,2748.207557169131,ETHUSD
2022-03-09 20:00:00,2743.27,2745.1557381568314,2743.1312387737325,2736.3260538035074,ETHUSD
2022-03-09 21:30:00,2689.61,2689.9827511993763,2692.8932194575077,2691.7336553534124,ETHUSD
2022-03-09 23:00:00,2685.38,2683.450285462387,2680.150368725044,2682.4547896992044,ETHUSD
2022-03-09 18:30:00,108.71,109.04155395177658,109.12563083461588,108.63969214859365,LTCUSD
2022-03-09 20:00:00,108.17,108.56849461507518,107.50746774511131,108.18839249032457,LTCUSD
2022-03-09 21:30:00,106.72,106.91873104952276,107.00187527258569,106.69978495419828,LTCUSD
2022-03-09 23:00:00,106.0,106.65730762388557,106.30920775432209,105.80161868362963,LTCUSD
2022-03-09 18:30:00,0.7632,0.7666924127340317,0.7736604791850918,0.7733847659264385,RPLUSD
2022-03-09 20:00:00,0.769,0.7753487533498555,0.7802764038866504,0.788214501955809,RPLUSD
2022-03-09 21:30:00,0.7583,0.7592731273555895,0.7593939168739788,0.7601255096371166,RPLUSD
2022-03-09 23:00:00,0.7601,0.764624051250983,0.7657568207668903,0.7649160923586172,RPLUSD
